ID,Kart_X,Kart_y
"0",600506.182999999960884,6651761.782999999821186
"1",600551.702000000048429,6651947.764000000432134
"2",601059.729999999981374,6652012.879999999888241
"3",600912.983000000007451,6652049.877000000327826
"4",600935.388999999966472,6651946.957000000402331
"5",601047.888999999966472,6651687.870000000111759
"6",601411.515000000013970,6652169.949000000022352
"7",601333.707999999984168,6652180.769999999552965
"8",601328.432000000029802,6652607.905000000260770
"9",600839.900000000023283,6652574.220999999903142
"10",600819.133999999961816,6652492.038999999873340
"11",600736.155000000027940,6652461.733000000007451
"12",600540.795999999972992,6652470.326999999582767
"13",600592.878999999957159,6652341.889000000432134
"14",600404.153999999980442,6652308.958999999798834
"15",600433.633000000030734,6652142.019000000320375
"16",601292.059000000008382,6652045.599000000394881
"17",601537.535999999963678,6651992.933000000193715
"18",601302.623999999952503,6651777.275999999605119
"19",600374.805000000051223,6651981.669999999925494
"20",600905.859000000054948,6651817.565999999642372
"21",601082.474000000045635,6651604.043999999761581
"22",601183.581000000005588,6651485.660000000149012
"23",601323.572000000043772,6651478.950000000186265
"24",601309.305000000051223,6651510.974000000394881
"25",601452.760000000009313,6651497.821000000461936
"26",601543.280000000027940,6651602.430999999865890
"27",601652.317000000039116,6651550.756000000052154
"28",601687.108000000007451,6651683.938000000081956
"29",601716.074999999953434,6651759.699000000022352
"30",601791.008999999961816,6652120.834999999962747
"31",601596.844000000040978,6652538.997000000439584
"32",601745.572000000043772,6652543.129999999888241
"33",601295.589999999967404,6652305.258999999612570
"34",600966.494999999995343,6652382.603000000119209
"35",600855.506999999983236,6652416.898000000044703
"36",600872.812999999965541,6652228.741999999620020
"37",600860.787000000011176,6652149.911999999545515
"38",600369.689000000013039,6651608.963999999687076
"39",601755.981999999959953,6651674.413999999873340
"40",601463.444999999948777,6651805.983000000007451
"41",600703.266999999992549,6652079.015999999828637
